n_ID	s_NAME	s_COMMON	s_EQUIPED	s_USED
4141	愛朵拉-下身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【愛朵拉-下身】收進收納櫃，收納後即可穿著。
4142	聖鎧騎士-頭飾	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【聖鎧騎士-頭飾】收進收納櫃，收納後即可穿著。
4143	聖鎧騎士-上身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【聖鎧騎士-上身】收進收納櫃，收納後即可穿著。
4144	聖鎧騎士-下身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【聖鎧騎士-下身】收進收納櫃，收納後即可穿著。
4145	凡赫辛-頭飾	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【凡赫辛-頭飾】收進收納櫃，收納後即可穿著。
4146	凡赫辛-上身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【凡赫辛-上身】收進收納櫃，收納後即可穿著。
4147	凡赫辛-下身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【凡赫辛-下身】收進收納櫃，收納後即可穿著。
4148	刺客教袍-頭飾	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【刺客教袍-頭飾】收進收納櫃，收納後即可穿著。
4149	刺客教袍-上身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【刺客教袍-上身】收進收納櫃，收納後即可穿著。
4150	刺客教袍-下身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【刺客教袍-下身】收進收納櫃，收納後即可穿著。
4151	神槍牛仔-頭飾	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【神槍牛仔-頭飾】收進收納櫃，收納後即可穿著。
4152	神槍牛仔-上身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【神槍牛仔-上身】收進收納櫃，收納後即可穿著。
4153	神槍牛仔-下身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【神槍牛仔-下身】收進收納櫃，收納後即可穿著。
4154	神槍警長-頭飾	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【神槍警長-頭飾】收進收納櫃，收納後即可穿著。
4155	神槍警長-上身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【神槍警長-上身】收進收納櫃，收納後即可穿著。
4156	神槍警長-下身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【神槍警長-下身】收進收納櫃，收納後即可穿著。
4157	海賊輓歌-頭飾	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【海賊輓歌-頭飾】收進收納櫃，收納後即可穿著。
4158	海賊輓歌-上身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【海賊輓歌-上身】收進收納櫃，收納後即可穿著。
4159	海賊輓歌-下身	收納種類：外觀。\n裝備後可增加力量2點、敏捷2點、體質2點、智力2點、感知2點、精力值5點。	此外觀可轉換成合成素材	使用後將【海賊輓歌-下身】收進收納櫃，收納後即可穿著。
5001	Freedom Wing	ประเภทชั้นเก็บของ：ปีก		เมื่อใช้จะนำ [Freedom Wing] เก็บลงตู้เก็บของ เมื่อเก็บแล้วสามารถสวมใส่ได้
5002	妖精的翅膀	收納種類：滑翔翼。		使用後將【妖精的翅膀】收進收納櫃，收納後即可裝備。
5501	Rabbit Backpack	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, ปัญญา 5 แต้ม, รู้สึก 5 แต้ม		เมื่อใช้จะนำ [Rabbit Backpack] เก็บลงตู้เก็บของ เมื่อเก็บแล้วสามารถสวมใส่ได้
5502	粉紅兔子背包	收納種類：外觀。		使用後將【粉紅兔子背包】收進收納櫃，收納後即可裝備。
5503	紅色眼帶	收納種類：外觀。		使用後將【紅色眼帶】收進收納櫃，收納後即可裝備。
5504	Black Rabbit Bag	ประเภทชั้นเก็บของ: รูปลักษณ์\nเมื่อสวมใส่จะได้รับค่าพลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม, ค่ากำลัง 5 แต้ม		เมื่อใช้จะนำ【Black Rabbit Bag】เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
5505	Black Eye With	ประเภทชั้นเก็บของ: รูปลักษณ์\nเมื่อสวมใส่จะได้รับค่าพลัง 2 แต้ม, ว่องไว 2 แต้ม, กาย 2 แต้ม, ปัญญา 2 แต้ม, รู้สึก 2 แต้ม, ค่ากำลัง 5 แต้ม		เมื่อใช้จะนำ【Black Eye With】เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
5506	Goggle	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้สามารถนำ 【Goggle】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
5507	Antelope Red Horn	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้สามารถนำ 【Antelope Red Horn】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
5508	Seven Herb	ประเภทชั้นวางของ: รูปลักษณ์		เมื่อใช้สามารถนำ 【Seven Herb】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถสวมใส่ได้
6001	Odyssey	ประเภทชั้นวางของ: ลูกเรือ		เมื่อใช้จะนำ [Odyssey] ใส่ลงในตู้เก็บของ สามารถเรียกได้
6002	Olivia	ประเภทชั้นวางของ: ลูกเรือ		เมื่อใช้จะนำ [Olivia] ใส่ลงในตู้เก็บของ สามารถเรียกได้
6003	Elizabeth	ประเภทชั้นวางของ: ลูกเรือ		เมื่อใช้จะนำ [Elizabeth] ใส่ลงในตู้เก็บของ สามารถเรียกได้
6004	Flying Yellow Duck	ประเภทชั้นเก็บของ: ลูกเรือ		เมื่อใช้จะนำ【Flying Yellow Duck】เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถเรียกได้
6005	Elizabeth (ver.x'mas)	ประเภทชั้นเก็บของ: ลูกเรือ		เมื่อใช้จะนำ 【Elizabeth (ver.x'mas)】ใส่ลงในตู้เก็บของ สามารถเรียกได้
8001	Plain Jerboa	ประเภทชั้นเก็บของ:  สัตว์ขี่ สัตว์ขี่ที่โดยสารได้คนเดียว ความเร็วเคลื่อนที่ 850 \n\nเมื่อขี่สามารถใช้สกิล: [Assault], [Bounce] 		เมื่อใช้จะนำ [Plain Jerboa] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถเรียกได้
8002	Wave Dragon Horse	ประเภทชั้นเก็บของ:  สัตว์ขี่ สัตว์ขี่ที่โดยสารได้คนเดียว ความเร็วเคลื่อนที่ 850 \n\nเมื่อขี่สามารถใช้สกิล: [Assault], [Bounce] 		เมื่อใช้จะนำ [Wave Dragon Horse] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถเรียกได้
8003	Unicorn	ประเภทชั้นเก็บของ:  สัตว์ขี่ สัตว์ขี่ที่โดยสารได้คนเดียว ความเร็วเคลื่อนที่ 850		เมื่อใช้จะนำ [Unicorn] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถเรียกได้
8004	Yellow Duck	ประเภทชั้นเก็บของ:  สัตว์ขี่ สัตว์ขี่ที่โดยสารได้คนเดียว ความเร็วเคลื่อนที่ 790		เมื่อใช้จะนำ [Yellow Duck] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถเรียกได้
8005	Ice Jerboa	สัตว์ขี่เดี่ยว ความเร็วเคลื่อนที่ 800 หน่วย เจอร์บัวที่อาศัยอยู่ในพื้นที่เขตหนาว เมื่อถูกฝึกให้เชื่องแล้ว คนที่ไม่ช่ำชองในการขี่ก็สามารถขี่ได้อย่างง่ายดาย\n\nเมื่อขี่สามารถใช้สกิล:【กระโดด】ได้		เมื่อใช้สามารถนำ 【Ice Jerboa】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถเรียกได้
8006	測試座騎2		測試用道具，內部使用，請勿外流！！	使用後將【測試座騎2】收進收納櫃，收納後即可召喚。
8007	測試座騎3		測試用道具，內部使用，請勿外流！！	使用後將【測試座騎3】收進收納櫃，收納後即可召喚。
8501	Angel of Death Field Guide Legend			เมื่อใช้จะได้รับ Field Guide [Angel of Death] แบบสมบูรณ์!
8502	Siren Field Guide Legend			เมื่อใช้จะสะสม [Siren] สำเร็จ!
8503	Isoroku Yamamoto Field Guide Legend			เมื่อใช้จะได้รับ Field Guide [Isoroku Yamamoto] แบบสมบูรณ์!
8504	Cute Bunny	ประเภทชั้นวางของ: สัตว์สวยงาม		เมื่อใช้สามารถนำ 【Cute Bunny】 เก็บใส่ชั่นวางของ เมื่อเก็บแล้ว สามารถเรียกได้
9501	Lucky Gather Shelter(1 Day)	เพิ่มอัตราการดรอปของที่มีคุณภาพ 10% เพิ่มอัตราการดรอป [Extra Gold Brick] ที่มีคุณภาพ และไอเทม [Guawa Guess Fun] \n ไอเทม [Guawa Guess Fun] จะได้รับลูกเรือ, เครื่องประดับหลัง, เครื่องประดับหน้า และไอเทมอื่นๆที่เกี่ยวข้องของ Guawa family 		เมื่อใช้จะเพิ่มค่าโชคลาปในการดอป 10%
9502	War Readiness Box Lv.15(Knight)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Knight Lv.15
9503	War Readiness Box Lv.25(Knight)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Knight Lv.25
9504	War Readiness Box Lv.35(Knight)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Knight Lv.35
9505	Reward Miracle  Hammer(Weapon)			เมื่อกดใช้และเลือกอาวุธที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 5 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
9506	Reward Miracle  Hammer(Armor)			เมื่อกดใช้และเลือกเครื่องป้องกันที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 5 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
9507	Reward Miracle  Hammer(Accessories)			เมื่อกดใช้และเลือกเครื่องประดับที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 5 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
9508	VIP Service Contract(3 Day)	สิทธิ์ VIP มีดังนี้: \n1. มีช่องในกระเป๋าเพิ่ม 40 ช่อง\n2. มีช่องในคลังเพิ่ม 40 ช่อง\n3. ขายไปเทมในประมูลเพิ่มขึ้น 15 ชิ้น\n4. มีคลังติดตัว\n5. มีตู้นิรภัยติดตัว\n6.ได้ EXP  Bonus 30％ จากการต่อสู้\n7. ได้รับ Skill Point Bonus จากการต่อสู้เพิ่มขึ้น 30％\n8. สามารถใช้【กระโดด VIP】ได้\n9. ค่าถดถอยของ Sword Soul ลดลงครึ่งหนึ่ง		เมื่อใช้จะได้รับสิทธิ์ VIP
9509	Reward Nourish Morning Dew	น้ำค้างจากยอดเขาสูง นำไปหยดลงบนผลึกสามารถทำให้ผลึกเกิดแสงแวววาว		เมื่อใช้และเลือกผลึกที่ต้องการ จะได้รับระดับแสง 1 แต้ม(ระดับแสงเพิ่มได้สูงสุด 99 แต้ม)
9510	Reward Attestation Medal	หากใส่ไอเทมนี้ไปในตอนตีบวก เมื่อการตีบวกล้มเหลว และเครื่องสวมใส่ต้องแตก จะสามารถป้องกันไม่ให้เครื่องสวมใส่แตกได้		
9511	War Readiness Box Lv.40(Knight)	เครื่องสวมใส่ของ Knight Lv.40 หากยังไม่มีของใช้ที่ดีก็ใช้อันนี้ไปก่อน		คลิกขวาจะได้รับเครื่องสวมใส่ต่างๆ
9512	Instant Warehouse Service(3 Day)			เมื่อใช้จะได้บริการคลังติดตัว สามารถเปิดคลังผ่าน [Instant Warehouse] ในกระเป๋า!
9513	Instant Warehouse Service(1 Day)			เมื่อใช้จะได้บริการคลังติดตัว สามารถเปิดคลังผ่าน [Instant Warehouse] ในกระเป๋า!
9514	War Readiness Box Lv.15(Gladiator)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของGladiator Lv.15
9515	War Readiness Box Lv.25(Gladiator)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของGladiator Lv.25
9516	War Readiness Box Lv.35(Gladiator)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของGladiator Lv.35
9517	War Readiness Box Lv.40(Gladiator)	เครื่องสวมใส่ของ Gladiator Lv.40 หากยังไม่มีของใช้ที่ดีก็ใช้อันนี้ไปก่อน		เมื่อเปิดจะได้รับเครื่องสวมใส่ต่างๆ
9518	War Readiness Box Lv.15(Sharpshooter)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Sharpshooter Lv.15
9519	War Readiness Box Lv.25(Sharpshooter)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Sharpshooter Lv.25
9520	War Readiness Box Lv.35(Sharpshooter)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Sharpshooter Lv.35
9521	War Readiness Box Lv.40(Sharpshooter)	เครื่องสวมใส่ของ Sharpshooter Lv.40 หากยังไม่มีของใช้ที่ดีก็ใช้อันนี้ไปก่อน		เมื่อเปิดจะได้รับเครื่องสวมใส่ต่างๆ
9522	War Readiness Box Lv.15(Agents of Storm)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Agents of Storm Lv.15
9523	War Readiness Box Lv.25(Agents of Storm)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Agents of Storm Lv.25
9524	War Readiness Box Lv.35(Agents of Storm)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Agents of Storm Lv.35
9525	War Readiness Box Lv.40(Agents of Storm)	เครื่องสวมใส่ของ Agents of Storm Lv.40 หากยังไม่มีของใช้ที่ดีก็ใช้อันนี้ไปก่อน		เมื่อเปิดจะได้รับเครื่องสวมใส่ต่างๆ
9526	War Readiness Box Lv.15(Solar Priest)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Priest Lv.15
9527	War Readiness Box Lv.25(Solar Priest)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Priest Lv.25
9528	War Readiness Box Lv.35(Solar Priest)			เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Priest Lv.35
9529	War Readiness Box Lv.40(Solar Priest)	เครื่องสวมใส่ของ Priest Lv.40 หากยังไม่มีของใช้ที่ดีก็ใช้อันนี้ไปก่อน		เมื่อเปิดจะได้รับเครื่องสวมใส่ต่างๆ
9530	Reward Break Crystal Stone			เมื่อกดใช้และเลือกเครื่องสวมใส่ สามารถเพิ่มเลเวลเครื่องสวมใส่ที่ต้องการได้ 1 เลเวล ไอเทมนี้สามารถตีบวกได้ถึงเลเวล 20
9531	Instant Box Service(3 Day)			เมื่อใช้จะได้บริการตู้นิรภัยติดตัว สามารถเปิดตู้นิรภัยผ่าน [Instant Box] ในกระเป๋าได้!
9532	Instant Box Service(1 Day)			เมื่อใช้จะได้บริการตู้นิรภัยติดตัว สามารถเปิดตู้นิรภัยผ่าน [Instant Box] ในกระเป๋าได้!
9533	Instant Shop Service(3 Day)			เมื่อใช้จะได้บริการร้านค้าติดตัว สามารถเปิด Royal Exchange ผ่าน [Instant Shop] ได้!
9534	Instant Shop Service(1 Day)			เมื่อใช้จะได้บริการร้านค้าติดตัว สามารถเปิด Royal Exchange ผ่าน [Instant Shop] ได้!
9535	Reward Blessing Stone	หากใส่ไอเทมนี้ไปในตอนตีบวก เมื่อการตีบวกล้มเหลว จะสามารถป้องกันไม่ให้เครื่องสวมใส่เลเวลลด		
9536	Reward Attestation Medal	เหรียญรับรองกิลด์		เมื่อกดใช้และเลือกเครื่องสวมใส่ในกระเป๋า สามารถเพิ่มจำนวนการเปลี่ยนมือได้ 1 ครั้ง
9537	Reward Guess Fun Drain Coupon	เพื่อเรียกกองทุนของ [ราชาเป่ายิ้งฉุบที่ 101] หัวหน้า Guawa family จึงประกาศให้ผู้กล้าแห่ง Atlantis  เมื่อใช้ไอเทมนี้ตอนเล่นเกมfinger-Guessingพวกเขาจะไม่สามารถออก [กรรไกร] ได้		
9538	Hunting Final EXP Double(24 Hours)			เมื่อใช้จะได้รับ EXP  Bonus จากการต่อสู้ 100％ สามารถใช้ร่วมกับไอเทมที่ไม่ได้มาจากร้านค้าได้
9539	Reward Massage Horn	ไอเทมที่ต้องมีในการพูดในแชแนล [ทั้งหมด] ทุกครั้งที่ส่งข้อความจะหักไอเทมนี้ 1 ชิ้น		
9540	Hoist The Sail Gift			เมื่อใช้จะได้รับ: \nRepair Cure(Special)x1\nReward Massage Hornx20
9541	Ocean Big Gift			เมื่อใช้จะได้รับ Token 10000 เหรียญ
9542	CB Piece Memorial Gift			เมื่อใช้สามารถสุ่มได้ไอเทมแปลงร่างKUSOถาวร 1 อย่าง
9543	Battle EXP Shelter(1 Hour)			เมื่อใช้จะเพิ่ม EXP ที่ได้รับจากการต่อสู้เพิ่มขึ้น 30% สามารถใช้ร่วมกับไอเทมที่ไม่ได้มาจากไอเทมมอลล์ได้
9544	Battle Skill Shelter(1 Hour)			เมื่อใช้จะเพิ่ม EXP ที่ได้รับจากการต่อสู้เพิ่มขึ้น 30% สามารถใช้ร่วมกับไอเทมที่ไม่ได้มาจากไอเทมมอลล์ได้
9545	Wave Dragon Horse(Reward)	ประเภทชั้นเก็บของ:  สัตว์ขี่ สัตว์ขี่ที่โดยสารได้คนเดียว ความเร็วเคลื่อนที่ 850 \n\nเมื่อขี่สามารถใช้สกิล: [Assault], [Bounce] 		เมื่อใช้จะนำ [Wave Dragon Horse] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถเรียกได้
9546	Reward Repair Cure	ยาที่สามารถเพิ่มเลือดได้เต็มจำนวนครั้งแรกคือ 50 หากไม่ได้ตั้งค่าใช้ยาอัตโนมัติ ระบบนี้จะใช้ยาที่มีจำนวนน้อยที่สุดก่อน		เมื่อใช้สามารถฟื้นฟูเลือดได้จำนวนมาก!
9547	รางวัล Lv.3 Morale Repair			เมื่อใช้จพเพิ่มค่าขวัญ 15 แต้ม แนะนำ: ใช้เพิ่มค่าขวัญในปัจจุบันเท่านั้น
9548	Skeleton  Captain-Headdress(Reward)	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, เพิ่มการฟื้นฟูเวทย์ 1 แต้ม		เมื่อใช้จะนำ [Skeleton  Captain-Headdress] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
9549	Skeleton  Captain-Cloth(Reward)	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, เพิ่มการฟื้นฟูเวทย์ 1 แต้ม		เมื่อใช้จะนำ [Skeleton  Captain-Cloth] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
9550	Skeleton  Captain-Goggles(Reward)	ประเภทตู้เก็บของ: รูปลักษณ์\nเมื่อสวมใส่สามารถเพิ่มพลังเวทย์ 5 แต้ม, เพิ่มการฟื้นฟูเวทย์ 1 แต้ม		เมื่อใช้จะนำ [Skeleton  Captain-Goggles] เก็บเข้าชั้นวางของ เมื่อเก็บแล้วสามารถสวมใส่ได้
9551	War Readiness Box Lv.5(Knight)	คลิกขวาเพื่อเปิด		เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Knight Lv.5
9552	War Readiness Box Lv.5(Gladiator)	คลิกขวาเพื่อเปิด		เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Gladiator Lv.5
9553	War Readiness Box Lv.5(Agents of Storm)	คลิกขวาเพื่อเปิด		เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Agents of Storm Lv.5
9554	War Readiness Box Lv.5(Sharpshooter)	คลิกขวาเพื่อเปิด		เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Sharpshooter Lv.5
9555	War Readiness Box Lv.5(Solar Priest)	คลิกขวาเพื่อเปิด		เมื่อเปิดจะได้รับเครื่องสวมใส่พื้นฐานของ Priest Lv.5
9556	กระโดด VIP (3 วัน)	สามารถใช้【กระโดด VIP】ได้		เมื่อใช้จะได้รับสิทธิ์ในการกระโดด VIP
9557	Lv5戰備箱(巫毒使)	滑鼠右鍵開啟		開啟後可取得Lv.5巫毒使的基本裝備。
9558	Lv15戰備箱(巫毒使)	滑鼠右鍵開啟		開啟後可取得Lv.15巫毒使的基本裝備。
9559	Lv25戰備箱(巫毒使)	滑鼠右鍵開啟		開啟後可取得Lv.25巫毒使的實用裝備。
9560	Lv35戰備箱(巫毒使)	滑鼠右鍵開啟		開啟後可取得Lv.35巫毒使的實用裝備和補給。
10001	Morale Repair LV.1			เมื่อใช้จะเพิ่มค่าขวัญ 5 แต้ม แนะนำ: เพิ่มได้สูงสุดตามจำนวนสูงสุดของค่าขวัญเท่านั้น
10002	Morale Repair LV.2			เมื่อใช้จะเพิ่มค่าขวัญ 10 แต้ม แนะนำ: เพิ่มได้สูงสุดตามจำนวนสูงสุดของค่าขวัญเท่านั้น
10003	Morale Repair LV.3			เมื่อใช้จะเพิ่มค่าขวัญ 15 แต้ม แนะนำ: เพิ่มได้สูงสุดตามจำนวนสูงสุดของค่าขวัญเท่านั้น
10004	Crew Companion	คลิกฟื้นฟูระดับความพอใจในหน้าข้อมูลลูกเรือ ระบบจะหักไอเทมนี้ 1 อันและฟื้นฟูระดับความพอใจให้ลูกเรือ		
10005	Lucky Gather Shelter(1 Hour)	เมื่อใช้จะเพิ่มอัตราในการดรอป 10%, เพิ่มอัตราการดรอป [Extra Gold Brick] ที่มีคุณภาพ และไอเทม [Guawa Guess Fun] \n ไอเทม [Guawa Guess Fun] จะได้รับลูกเรือ, เครื่องประดับหลัง, เครื่องประดับหน้า และไอเทมอื่นๆที่เกี่ยวข้องของ Guawa family 		เมื่อใช้จะเพิ่มค่าโชคลาปในการดอป 10% เป็นเวลา 1 ชั่วโมง
10006	Crew Broaden One's View(1 Hour)	มีเพียงช่องสกิลพิเศษเท่านั้นที่สามารถใส่ [Crew Special Skill] ให้ลูกเรือได้		เมื่อใช้จะได้รับช่องสกิลพิเศษ 4 ช่อง(ลูกเรือทั้งหมดสามารถใช้ได้)
10007	Nourish Morning Dew(Thin)	น้ำค้างจากยอดเขาสูง นำไปหยดลงบนผลึกสามารถทำให้ผลึกเกิดแสงแวววาว		เมื่อใช้และเลือกผลึกที่ต้องการ จะได้รับระดับแสง1 แต้ม(ระดับแสงเพิ่มได้สูงสุด 99 แต้ม)
10008	Battle EXP Shelter(1 Hour)			เมื่อใช้จะเพิ่ม EXP ที่ได้รับจากการต่อสู้เพิ่มขึ้น 30% สามารถใช้ร่วมกับไอเทมที่ไม่ได้มาจากไอเทมมอลล์ได้
10009	Battle Skill Shelter(1 Hour)			เมื่อใช้จะเพิ่ม EXP ที่ได้รับจากการต่อสู้เพิ่มขึ้น 30% สามารถใช้ร่วมกับไอเทมที่ไม่ได้มาจากไอเทมมอลล์ได้
10010	Instant Warehouse Service(1 Hour)			เมื่อใช้จะได้บริการคลังติดตัว สามารถเปิดคลังผ่าน [Instant Warehouse] ได้!
10011	Instant Shop Service(1 Hour)			เมื่อใช้จะได้บริการร้านค้าติดตัว สามารถเปิดRoyal Exchangeผ่าน [Instant Shop] ได้!
10012	Settlement Chest Multiple Choice Service			เมื่อใช้สามารถใช้ Settlement Chest Choice Service ได้ 1 ครั้ง
10101	Morale Repair LV.4			เมื่อใช้จะเพิ่มค่าขวัญ 20 แต้ม แนะนำ: เพิ่มได้สูงสุดตามจำนวนสูงสุดของค่าขวัญเท่านั้น
10102	Morale Repair LV.5			เมื่อใช้จะเพิ่มค่าขวัญ 25 แต้ม แนะนำ: เพิ่มได้สูงสุดตามจำนวนสูงสุดของค่าขวัญเท่านั้น
10103	Morale Repair LV.6			เมื่อใช้จะเพิ่มค่าขวัญ 30 แต้ม แนะนำ: เพิ่มได้สูงสุดตามจำนวนสูงสุดของค่าขวัญเท่านั้น
20001	Blessing Stone(Special)	หากใส่ไอเทมนี้ไปในตอนตีบวก เมื่อการตีบวกล้มเหลว และเครื่องสวมใส่ต้องแตก จะสามารถป้องกันไม่ให้เครื่องสวมใส่แตกได้		
20002	Merge Blessing Charm(Special)	หากใส่ไอเทมนี้ในขั้นตอนการผสม จะเพิ่มอัตราการได้ลูกเรือคุณภาพดีขึ้น และหากล้มเหลวจะป้องกันไม่ให้ไอเทมสัตว์สวยงามสูญหาย		
20003	Nourish Morning Dew(Special)	น้ำค้างจากยอดเขาสูง นำไปหยดลงบนผลึกสามารถทำให้ผลึกเกิดแสงแวววาว		เมื่อใช้และเลือกผลึกที่ต้องการ จะได้รับระดับแสง 5 แต้ม(ระดับแสงเพิ่มได้สูงสุด 99 แต้ม)
20004	Miracle  Hammer(Weapon)-Special			เมื่อกดใช้และเลือกอาวุธที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 5 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
20005	Miracle  Hammer(Armor)-Special			เมื่อกดใช้และเลือกเครื่องป้องกันที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 5 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
20006	Miracle  Hammer(Accessories)-Special			เมื่อกดใช้และเลือกเครื่องประดับที่ต้องการลดเลเวล สามารถลดเลเวลเครื่องสวมใส่ที่ต้องการได้ 5 เลเวล\n(ไอเทมที่เหมือนกันจะยึดเลเวลสูงสุดเป็นหลัก)
